Method,SD,Interval,Accuracy
Threshold,2.5,,0.9975
Probability,2.5,,0.9975
Quantized,2.5,0.001,1.0
Quantized,2.5,0.05,0.9995
Quantized,2.5,0.1,0.999
Quantized,2.5,0.3,0.9975
Quantized,2.5,1.0,0.9975
Quantized,2.5,2.0,0.996
Quantized,2.5,5.0,0.995
Quantized,2.5,10.0,0.995
Threshold,5.0,,0.911
Probability,5.0,,0.911
Quantized,5.0,0.001,0.9945
Quantized,5.0,0.05,0.933
Quantized,5.0,0.1,0.923
Quantized,5.0,0.3,0.916
Quantized,5.0,1.0,0.913
Quantized,5.0,2.0,0.913
Quantized,5.0,5.0,0.9045
Quantized,5.0,10.0,0.9045
Threshold,7.5,,0.8265
Probability,7.5,,0.8265
Quantized,7.5,0.001,0.992
Quantized,7.5,0.05,0.874
Quantized,7.5,0.1,0.8455
Quantized,7.5,0.3,0.832
Quantized,7.5,1.0,0.83
Quantized,7.5,2.0,0.83
Quantized,7.5,5.0,0.83
Quantized,7.5,10.0,0.83
Threshold,10.0,,0.763
Probability,10.0,,0.763
Quantized,10.0,0.001,0.9895
Quantized,10.0,0.05,0.833
Quantized,10.0,0.1,0.8055
Quantized,10.0,0.3,0.7795
Quantized,10.0,1.0,0.7705
Quantized,10.0,2.0,0.7685
Quantized,10.0,5.0,0.7595
Quantized,10.0,10.0,0.7555
