Method,SD,Interval,Accuracy
Threshold,2.5,,0.9985
Probability,2.5,,0.9985
Quantized,2.5,0.001,1.0
Quantized,2.5,0.05,0.999
Quantized,2.5,0.1,0.999
Quantized,2.5,0.3,0.999
Quantized,2.5,1.0,0.9985
Quantized,2.5,2.0,0.9955
Quantized,2.5,5.0,0.995
Quantized,2.5,10.0,0.995
Threshold,5.0,,0.911
Probability,5.0,,0.911
Quantized,5.0,0.001,0.997
Quantized,5.0,0.05,0.9335
Quantized,5.0,0.1,0.924
Quantized,5.0,0.3,0.9145
Quantized,5.0,1.0,0.911
Quantized,5.0,2.0,0.91
Quantized,5.0,5.0,0.91
Quantized,5.0,10.0,0.91
Threshold,7.5,,0.8365
Probability,7.5,,0.8365
Quantized,7.5,0.001,0.9905
Quantized,7.5,0.05,0.8745
Quantized,7.5,0.1,0.8565
Quantized,7.5,0.3,0.8395
Quantized,7.5,1.0,0.8365
Quantized,7.5,2.0,0.8315
Quantized,7.5,5.0,0.831
Quantized,7.5,10.0,0.831
Threshold,10.0,,0.756
Probability,10.0,,0.756
Quantized,10.0,0.001,0.9905
Quantized,10.0,0.05,0.8245
Quantized,10.0,0.1,0.791
Quantized,10.0,0.3,0.763
Quantized,10.0,1.0,0.7585
Quantized,10.0,2.0,0.7585
Quantized,10.0,5.0,0.7585
Quantized,10.0,10.0,0.7585
